user_id,total_reviews,,user_id_scrapped
1652357,790,,4940090
4028066,784,,1812802
2616403,782,,7897872
1346502,780,,6672547
1733683,778,,2876749
4015316,763,,2659749
3205653,757,,3299269
6097225,755,,73783
3313826,753,,7407364
2664775,753,,1642306
124038,753,,227726
2247013,749,,6186603
8975992,745,,3161083
3497575,744,,1147715
2380195,743,,5882099
1058324,743,,6175244
4753412,740,,117720
2621253,734,,604597
4896879,730,,5970245
4912586,730,,4991427
2160463,726,,1614841
5982262,724,,2890071
5607319,724,,1916753
347123,722,,2785390
123598,722,,8691587
304453,719,,3251334
1758594,719,,1054594
3461746,719,,2500965
1887310,718,,3088203
5963979,715,,596266
644703,713,,7716365
2943211,711,,649216
8872735,705,,8468608
1619684,705,,2105523
1355202,704,,5389847
999081,703,,43824
7490746,701,,800178
8083949,700,,7166602
1617748,695,,2705039
1702941,692,,3281164
2487858,689,,2190636
345801,685,,2699329
8854256,683,,4039337
5477262,683,,1125315
3265660,682,,6129622
223993,680,,320372
1484853,679,,7926263
849321,677,,162038
8241129,677,,873570
802066,676,,1748244
6774071,675,,3851099
5482096,673,,3360415
1391322,673,,4015316
6582254,672,,3205653
1271522,672,,6097225
1764232,672,,3313826
751334,671,,2247013
392459,669,,8975992
768723,669,,3497575
1642306,668,,2380195
227726,662,,4753412
3787451,660,,2621253
5895515,656,,4896879
6186603,655,,2160463
3402896,653,,123598
3161083,652,,1758594
1147715,649,,3461746
8291584,648,,1887310
1578420,647,,5963979
6934498,645,,644703
5882099,645,,2943211
6175244,644,,8872735
5716741,643,,1355202
117720,641,,999081
604597,639,,7490746
5970245,638,,8083949
4991427,637,,1617748
1614841,637,,1702941
6687675,634,,2487858
3167458,633,,345801
2890071,633,,8854256
1916753,629,,5477262
2785390,627,,3265660
8691587,627,,223993
3251334,625,,1484853
1054594,622,,849321
2500965,621,,8241129
3088203,617,,802066
4377518,614,,5482096
6449756,613,,6582254
596266,611,,1271522
7716365,610,,1764232
2948839,609,,751334
649216,607,,768723
8468608,602,,316327
177912,602,,892128
2105523,600,,4698736
5389847,599,,4751806
43824,597,,3293453
800178,597,,4556168
4493872,594,,2200252
7521915,593,,857084
7166602,590,,4724203
2705039,589,,1764476
3281164,589,,2333268
9180683,588,,3666031
2190636,587,,6907245
4283377,587,,3590983
2699329,583,,6923777
4039337,581,,3230909
2335083,578,,1127910
1125315,577,,4223760
6129622,573,,2443798
320372,572,,254596
3810541,571,,7583484
7926263,570,,6265983
162038,569,,8109706
873570,568,,3036829
1127405,567,,541416
2490119,567,,3209559
1748244,566,,1598886
3851099,563,,21659
3360415,562,,5684340
1033194,561,,4217077
636441,560,,363070
1324789,560,,7857026
3327000,558,,4188695
1361697,557,,3147219
2683868,555,,4726159
1825720,554,,4028066
313037,554,,937119
3189888,551,,6753819
3488439,550,,2731485
7404546,550,,3003434
1748363,550,,5907530
1429111,549,,5911504
1948178,549,,1663741
5280845,548,,2752027
5278073,548,,86145
233482,547,,4983837
2564751,546,,4120311
89170,546,,5950050
3706540,546,,15411
6841613,545,,1280369
4573882,543,,2684419
5478121,542,,4612721
5025458,540,,3795348
7761635,539,,962385
5880981,539,,7584700
994325,539,,634200
6577284,536,,4209094
3889506,536,,44398
7325556,534,,3878043
1591510,532,,2437452
3749461,531,,7345397
4296702,529,,241540
1273118,529,,7168645
391023,528,,7057054
6248705,528,,4676971
3359801,528,,6606746
6175707,527,,7668522
8219064,527,,7582369
112265,526,,4003368
4242816,526,,2781259
1952119,525,,4407211
3097045,524,,5754642
178320,524,,8751299
133202,522,,8456694
5398292,522,,6295042
1119451,521,,2619646
27435,520,,1939326
273413,519,,2538892
5287093,519,,7655313
2132572,519,,7010704
4164688,518,,1912613
2224950,517,,2327078
5871631,517,,1041732
5364137,517,,4071088
4558629,516,,4672084
3643293,516,,1138730
4584043,515,,7600964
3858088,515,,5497553
4635876,514,,4379319
4940090,513,,4102905
1812802,512,,2563042
7897872,512,,8495028
6672547,511,,2220828
2876749,510,,2297710
2659749,510,,536735
2438275,509,,8087271
3299269,509,,35488
5870199,509,,1155519
73783,509,,8866450
6146346,508,,7854826
7407364,508,,3217801
735726,508,,4606899
763271,508,,4492808
3440231,507,,3093000
3022242,507,,775131
1472968,506,,1163441
2393718,505,,2295390
7299377,505,,7878898
7259540,503,,7304892
872896,502,,3586922
2873133,501,,5975789
4809727,500,,7222759
4847123,500,,5347428
176834,499,,2165276
612003,499,,1744326
42553,499,,8179275
2096523,498,,6009927
2652919,497,,1928942
4521173,497,,1032093
2967194,497,,3768301
8356980,496,,8046739
3206829,496,,2931588
1996907,495,,1655110
684328,495,,1407592
558699,494,,4746257
1783447,492,,2557886
3702915,492,,6783573
1000163,491,,2011668
5141657,490,,3120014
